Order,Date,Price,FirstName,LastName,Destination,PickUp,Type
20,11-02-2019 22:00:11,55,Rasmus,Hauge,Sierra Leone,Laundo,Type 3
21,13-08-2019 05:17:12,100,Martin,Jakobsen,Laundo,Guldkysten,Type 5
22,01-03-2019 00:04:49,20,Gustav,Lafi,Timbuktu,Victoriasoen,Type 3
23,08-06-2019 14:36:57,45,Helene,Kireli,Victoriasoen,Laundo,Type 4
24,09-10-2019 07:29:28,100,Mik,Vasie,Suakin,Wadai,Type 5
25,22-01-2019 19:08:11,40,Niels,Memborg,St. Helena,Kap st. Marie,Type 3
26,01-02-2019 09:19:05,50,Martin,Ljungqvist,Sahara,Kapstaden,Type 4
27,19-04-2019 20:33:56,100,Zeki,Lafi,Laundo,De Kanariske Oeer,Type 4
28,31-03-2019 20:03:09,90,Zeki,Johansen,Mocambique,Kap Guardafui,Type 2
29,01-04-2019 06:04:50,50,Jacob,Madsen,Tripoli,Laundo,Type 5
30,03-09-2019 21:18:54,20,Andreas,Andersen,De Kanariske Oeer,Tanger,Type 1
31,07-02-2019 04:52:42,10,Helene,Kluw,Sierra Leone,Marrakesh,Type 2
32,04-07-2019 06:23:46,65,Julius,Roenhild,Laundo,Tripoli,Type 1
33,01-01-2019 19:06:54,90,Gustav,Hegelund,Dragebjerget,Victoria Faldene,Type 5
34,04-04-2019 06:16:07,55,Mark,Wagtberg,Congo,Timbuktu,Type 2
35,01-05-2019 12:24:46,40,Zeki,Ljungqvist,Dakar,Sierra Leone,Type 4
36,01-10-2019 14:03:43,65,Lisa,Ljungqvist,Congo,Dragebjerget,Type 5
37,26-04-2019 09:54:42,65,Marc,Trier,Slavekysten,Bahr El Ghazal,Type 5
38,01-10-2019 03:32:00,65,Julius,Hildorf,Mocambique,Kapstaden,Type 4
39,07-09-2019 18:25:27,100,Jonas,Henriksen,Dragebjerget,Slavekysten,Type 3
40,18-10-2019 17:12:15,40,Helene,Andersen,Tunis,Dakar,Type 2
41,18-01-2019 19:46:25,60,Arkan,Demant,De Kanariske Oeer,Laundo,Type 2
42,10-05-2019 19:46:13,55,Alexander,Vasie,Congo,Wadai,Type 2
43,13-01-2019 19:42:34,50,Jonas,Lund,Guldkysten,Dakar,Type 4
44,04-06-2019 14:05:23,65,Jakob,Svenningsen,Tunis,Kapstaden,Type 5
45,10-09-2019 10:21:44,25,Zeki,Vasie,Victoriasoen,Bahr El Ghazal,Type 1
46,10-02-2019 09:08:24,85,Arkan,Hauge,Tunis,Addis Abeba,Type 1
47,04-02-2019 10:52:59,50,Mik,Madsen,Amatave,Dakar,Type 2
48,23-02-2019 11:40:23,90,Niels,Madsen,Wadai,Kap st. Marie,Type 3
49,10-01-2019 12:47:36,85,Martin,Pedersen,Dafur,Dakar,Type 4
50,01-11-2019 06:50:13,65,Jacob,Demant,Hvalbugten,Dakar,Type 4
51,06-08-2019 15:35:27,30,Martin,Andersen,Sierra Leone,Congo,Type 5
52,11-07-2019 14:51:03,15,Rasmus,Wagtberg,Suakin,Victoriasoen,Type 4
53,27-08-2019 07:55:38,50,Alan,Steffensen,Cairo,Mocambique,Type 3
54,30-10-2019 12:46:12,5,Thomas,Hildorf,Sierra Leone,Addis Abeba,Type 4
55,01-05-2019 15:26:11,55,Kasper,Demant,Zanzibar,Tripoli,Type 3
56,06-02-2019 16:21:57,65,Jonas,Vinther,Cairo,Congo,Type 5
57,25-04-2019 03:05:40,10,Jakob,Johansen,Amatave,Tanger,Type 2
58,15-09-2019 00:45:23,45,Emil,Lafi,Kabalo,Hvalbugten,Type 3
59,18-01-2019 18:06:22,50,Zeki,Madsen,Guldkysten,Mocambique,Type 3
60,06-06-2019 03:08:32,15,Lisa,Pyndt,Bahr El Ghazal,De Kanariske Oeer,Type 1
61,09-08-2019 07:54:21,70,Helene,Wagtberg,Dafur,Bahr El Ghazal,Type 5
62,19-04-2019 16:27:46,65,Helene,Jakobsen,Tunis,Dakar,Type 3
63,07-03-2019 10:36:55,40,Gustav,Hauge,Slavekysten,Kap st. Marie,Type 5
64,18-09-2019 19:42:29,15,Andreas,Pyndt,Guldkysten,De Kanariske Oeer,Type 2
65,17-07-2019 21:54:34,35,Andreas,Lund,Sierra Leone,Timbuktu,Type 2
66,05-02-2019 13:49:01,80,Arkan,Vinther,Dakar,Kabalo,Type 4
67,17-03-2019 23:44:17,100,Lisa,Kluw,Victoria Faldene,Victoria Faldene,Type 3
68,02-09-2019 21:09:31,90,Alan,Wagtberg,Kap st. Marie,Amatave,Type 1
69,13-03-2019 15:14:52,45,Andreas,Hegelund,Timbuktu,Bahr El Ghazal,Type 2
70,15-01-2019 04:16:44,15,Martin,Vasie,Timbuktu,Dragebjerget,Type 2
71,01-02-2019 06:30:16,40,Emil,Pedersen,Timbuktu,Congo,Type 5
72,13-11-2019 08:59:40,65,Steven,Andersen,Sahara,Slavekysten,Type 5
73,14-05-2019 20:07:33,50,Martin,Wagtberg,Marrakesh,Sierra Leone,Type 5
74,09-01-2019 10:18:24,40,Thomas,Henriksen,Mocambique,Sahara,Type 5
75,25-07-2019 00:33:36,5,Kasper,Kluw,Kabalo,Hvalbugten,Type 4
76,21-07-2019 16:26:40,50,Marc,Henriksen,Victoriasoen,Cairo,Type 2
77,10-11-2019 10:32:32,40,Kasper,Pyndt,Sierra Leone,Dafur,Type 1
78,04-07-2019 08:32:40,100,Zeki,Hauge,Dafur,Sierra Leone,Type 4
79,05-06-2019 04:07:42,85,Julius,Lafi,Hvalbugten,Omdurmant,Type 5
80,16-08-2019 03:55:12,65,Alan,Meynan,Dakar,Addis Abeba,Type 1
81,26-09-2019 01:34:41,60,Lisa,Kireli,Victoriasoen,Wadai,Type 4
82,15-05-2019 05:10:45,5,Mark,Trier,Addis Abeba,Victoria Faldene,Type 4
83,30-03-2019 19:07:58,15,Simone,Pedersen,St. Helena,Cairo,Type 1
84,04-08-2019 01:55:31,25,Julius,Andersen,Suakin,Bahr El Ghazal,Type 5
85,25-05-2019 01:15:50,15,Emil,Hauge,Tanger,Wadai,Type 2
86,16-03-2019 16:12:01,75,Mark,Steffensen,St. Helena,Congo,Type 2
87,31-08-2019 11:34:05,20,Gustav,Vinther,Victoria Faldene,Hvalbugten,Type 4
88,03-01-2019 22:41:09,60,Sofie,Hauge,Hvalbugten,Kabalo,Type 2
89,07-01-2019 22:41:39,5,Steven,Madsen,Kapstaden,Marrakesh,Type 1
90,14-05-2019 20:37:07,75,Steven,Roenhild,Hvalbugten,Suakin,Type 1
91,12-05-2019 17:45:51,10,Mik,Lund,Sahara,Sierra Leone,Type 4
92,03-09-2019 19:24:06,15,Zeki,Steffensen,Slavekysten,Timbuktu,Type 4
93,01-06-2019 14:24:16,5,Zeki,Johansen,Suakin,Suakin,Type 4
94,11-03-2019 21:44:48,45,Jacob,Madsen,Wadai,Slavekysten,Type 4
95,23-09-2019 22:40:12,5,Marc,Demant,Addis Abeba,Hvalbugten,Type 2
96,28-03-2019 05:35:30,45,Rasmus,Pyndt,Mocambique,Bahr El Ghazal,Type 3
97,07-08-2019 04:57:12,5,Benjamin,Johansen,Tunis,Tunis,Type 4
98,11-10-2019 16:11:49,60,Jonas,Svenningsen,Dakar,Zanzibar,Type 4
99,28-05-2019 01:00:52,45,Benjamin,Pyndt,Tunis,Wadai,Type 3
100,01-07-2019 00:11:52,35,Benjamin,Lafi,Tunis,Laundo,Type 3
101,29-07-2019 01:28:24,35,Helene,Lafi,Kap Guardafui,Kap Guardafui,Type 5
102,02-02-2019 19:12:03,20,Kasper,Hauge,Congo,Suakin,Type 3
103,02-10-2019 09:24:55,85,Zeki,Jakobsen,Dragebjerget,Sierra Leone,Type 5
104,25-05-2019 00:36:01,65,Alexander,Pedersen,Kap Guardafui,Tripoli,Type 3
105,12-09-2019 03:46:46,15,Steven,Demant,Bahr El Ghazal,Kap Guardafui,Type 3
106,05-06-2019 17:58:00,30,Kasper,Vasie,Cairo,Tunis,Type 2
107,12-10-2019 07:10:53,80,Thomas,Kluw,Cairo,Victoria Faldene,Type 2
108,20-08-2019 05:50:25,70,Gustav,Wagtberg,Tripoli,Dragebjerget,Type 4
109,21-03-2019 09:54:49,80,Marc,Lafi,Dafur,Congo,Type 4
110,15-08-2019 11:12:11,20,Rasmus,Kireli,Timbuktu,Timbuktu,Type 5
111,10-06-2019 19:30:00,65,Lisa,Memborg,Tunis,Tripoli,Type 3
112,20-01-2019 18:42:39,45,Kasper,Vinther,Tunis,Amatave,Type 1
113,21-06-2019 08:52:01,75,Emil,Andersen,Kap Guardafui,Victoriasoen,Type 2
114,18-05-2019 02:01:19,40,Gustav,Hildorf,Sahara,Kap Guardafui,Type 4
115,08-03-2019 05:34:34,90,Julius,Hegelund,Congo,Tanger,Type 2
116,16-07-2019 10:36:44,100,Lisa,Demant,Zanzibar,Kap st. Marie,Type 5
117,31-10-2019 16:26:06,40,Marc,Pyndt,Cairo,Sierra Leone,Type 1
118,09-02-2019 03:05:26,100,Alan,Lafi,Kabalo,Wadai,Type 4
119,06-01-2019 17:35:12,20,Helene,Jakobsen,Mocambique,Omdurmant,Type 1
120,02-03-2019 02:06:42,5,Rasmus,Steffensen,Wadai,Omdurmant,Type 2
121,16-04-2019 12:04:10,85,Jacob,Henriksen,Mocambique,Kap Guardafui,Type 4
122,04-03-2019 00:11:44,60,Thomas,Pyndt,Dafur,Guldkysten,Type 4
123,06-04-2019 16:38:34,80,Martin,Hauge,St. Helena,Timbuktu,Type 4
124,03-02-2019 20:49:34,20,Arkan,Hildorf,Mocambique,Omdurmant,Type 5
125,26-09-2019 17:46:40,45,Steven,Hauge,Victoria Faldene,Kap Guardafui,Type 3
126,27-08-2019 05:16:40,30,Jakob,Demant,Congo,Tunis,Type 1
127,09-04-2019 21:42:18,60,Arkan,Vasie,Suakin,Tunis,Type 1
128,08-10-2019 23:14:51,40,Alan,Hildorf,Wadai,Laundo,Type 1
129,19-07-2019 06:57:31,20,Mik,Lafi,Cairo,Tunis,Type 2
130,06-02-2019 11:04:52,55,Jacob,Roenhild,Kabalo,Tunis,Type 1
131,02-08-2019 16:12:33,40,Gustav,Lund,Mocambique,Bahr El Ghazal,Type 4
132,30-04-2019 02:22:59,5,Mark,Hegelund,Sahara,Dragebjerget,Type 4
133,05-02-2019 13:03:29,90,Alan,Kluw,Kapstaden,Dakar,Type 5
134,05-10-2019 12:42:51,65,Andreas,Wagtberg,Mocambique,Tunis,Type 3
135,21-05-2019 06:59:45,30,Zeki,Jakobsen,Victoria Faldene,Amatave,Type 3
136,04-02-2019 17:57:01,55,Helene,Kireli,Zanzibar,Hvalbugten,Type 5
137,28-09-2019 09:31:37,75,Mik,Meynan,Dakar,Marrakesh,Type 2
138,18-06-2019 07:11:18,40,Kasper,Memborg,Dafur,Tanger,Type 3
139,27-02-2019 07:00:47,35,Benjamin,Pedersen,Timbuktu,Amatave,Type 4
140,12-03-2019 20:55:20,90,Sofie,Wagtberg,Cairo,Tunis,Type 2
141,09-05-2019 09:04:09,85,Rasmus,Lafi,Victoriasoen,Sahara,Type 4
142,27-10-2019 04:03:06,10,Arkan,Trier,Bahr El Ghazal,Omdurmant,Type 3
143,28-05-2019 20:04:48,80,Julius,Hauge,Dakar,Omdurmant,Type 1
144,20-06-2019 20:05:37,10,Arkan,Roenhild,Tunis,Slavekysten,Type 3
145,03-08-2019 09:09:27,35,Julius,Pyndt,Dragebjerget,Victoriasoen,Type 5
146,28-01-2019 16:57:28,100,Simone,Johansen,Wadai,Guldkysten,Type 4
147,26-10-2019 23:14:24,60,Rasmus,Andersen,Tanger,Congo,Type 2
148,14-11-2019 22:51:24,45,Alan,Madsen,Hvalbugten,Laundo,Type 3
149,25-06-2019 07:56:55,30,Niels,Kluw,Guldkysten,Dragebjerget,Type 1
150,03-06-2019 12:37:54,55,Julius,Trier,St. Helena,Sierra Leone,Type 4
151,20-06-2019 03:36:26,25,Jacob,Pyndt,Addis Abeba,Sahara,Type 3
152,02-01-2019 00:49:23,20,Lisa,Kireli,Dafur,Kap Guardafui,Type 2
153,18-02-2019 08:53:40,15,Emil,Ljungqvist,Amatave,Zanzibar,Type 2
154,03-05-2019 09:31:52,5,Kasper,Roenhild,Congo,Kabalo,Type 5
155,21-04-2019 21:21:45,55,Gustav,Ljungqvist,Bahr El Ghazal,Congo,Type 3
156,10-05-2019 07:46:37,60,Zeki,Steffensen,Mocambique,Sahara,Type 5
157,06-08-2019 15:36:31,80,Alexander,Johansen,Addis Abeba,Slavekysten,Type 2
158,18-05-2019 01:33:37,90,Niels,Jakobsen,Timbuktu,Dakar,Type 5
159,24-09-2019 09:35:50,85,Sofie,Hildorf,Kapstaden,Tunis,Type 3
160,02-06-2019 23:32:01,30,Sofie,Demant,Dafur,St. Helena,Type 2
161,13-04-2019 10:14:24,90,Jacob,Steffensen,Guldkysten,Kabalo,Type 3
162,08-11-2019 03:44:36,55,Steven,Pedersen,Kabalo,Addis Abeba,Type 2
163,11-11-2019 16:13:28,80,Jonas,Jakobsen,Addis Abeba,Addis Abeba,Type 2
164,12-01-2019 23:44:50,70,Gustav,Svenningsen,Addis Abeba,Suakin,Type 2
165,23-03-2019 22:06:45,10,Thomas,Johansen,Tanger,Laundo,Type 5
166,30-09-2019 03:23:25,20,Zeki,Jakobsen,Suakin,Kabalo,Type 2
167,28-08-2019 02:53:32,90,Alan,Madsen,Congo,Marrakesh,Type 3
168,23-07-2019 16:20:27,60,Andreas,Henriksen,Bahr El Ghazal,Dakar,Type 5
169,06-03-2019 18:12:31,40,Jakob,Pedersen,Marrakesh,St. Helena,Type 1
170,05-03-2019 17:46:16,10,Jacob,Meynan,Kap Guardafui,Dakar,Type 1
171,18-08-2019 16:08:34,20,Sofie,Vinther,Bahr El Ghazal,Tanger,Type 4
172,12-06-2019 10:18:26,80,Martin,Ljungqvist,Wadai,Hvalbugten,Type 3
173,28-05-2019 11:04:02,45,Lisa,Roenhild,Marrakesh,Kapstaden,Type 1
174,26-06-2019 09:16:14,40,Zeki,Pedersen,Laundo,Dakar,Type 5
175,05-07-2019 13:56:17,80,Mik,Kireli,St. Helena,Bahr El Ghazal,Type 5
176,07-02-2019 21:53:31,65,Steven,Andersen,Congo,Kap st. Marie,Type 3
177,25-07-2019 00:17:00,85,Thomas,Demant,Zanzibar,Omdurmant,Type 4
178,20-01-2019 01:25:50,80,Alexander,Demant,Kap st. Marie,Tanger,Type 3
179,14-05-2019 22:01:34,15,Jacob,Trier,Wadai,Laundo,Type 2
180,13-01-2019 16:25:05,100,Benjamin,Svenningsen,Tanger,Hvalbugten,Type 1
181,20-07-2019 00:46:02,5,Andreas,Wagtberg,Kapstaden,Laundo,Type 4
182,14-02-2019 08:30:36,10,Alan,Andersen,Dakar,De Kanariske Oeer,Type 3
183,05-08-2019 14:01:23,60,Mark,Henriksen,Timbuktu,Tanger,Type 4
184,01-04-2019 05:23:05,60,Jakob,Andersen,Kap Guardafui,Victoriasoen,Type 2
185,06-03-2019 15:41:10,30,Martin,Ljungqvist,Dakar,Victoria Faldene,Type 5
186,25-03-2019 18:41:05,90,Lisa,Johansen,Omdurmant,Laundo,Type 2
187,20-10-2019 05:31:22,60,Jonas,Svenningsen,St. Helena,Kabalo,Type 4
188,15-03-2019 05:29:10,85,Simone,Pedersen,Timbuktu,Victoria Faldene,Type 5
189,27-09-2019 16:22:31,85,Martin,Trier,Bahr El Ghazal,Victoriasoen,Type 5
190,19-05-2019 23:23:35,55,Alexander,Demant,Tripoli,Bahr El Ghazal,Type 2
191,27-07-2019 20:30:02,85,Emil,Jakobsen,Tripoli,Timbuktu,Type 1
192,08-09-2019 10:51:02,65,Niels,Madsen,Bahr El Ghazal,Marrakesh,Type 1
193,13-06-2019 06:58:57,75,Mik,Johansen,Sahara,Tanger,Type 5
194,24-06-2019 07:42:37,60,Benjamin,Memborg,Tunis,Cairo,Type 5
195,21-09-2019 09:37:25,70,Jakob,Andersen,Guldkysten,Laundo,Type 2
196,30-07-2019 03:47:40,25,Emil,Trier,Marrakesh,Wadai,Type 4
197,30-04-2019 03:21:16,45,Arkan,Hegelund,De Kanariske Oeer,De Kanariske Oeer,Type 5
198,12-03-2019 02:30:23,5,Jonas,Kireli,Dafur,Sahara,Type 4
199,18-09-2019 05:46:21,15,Marc,Wagtberg,Timbuktu,St. Helena,Type 2
200,13-10-2019 02:37:19,25,Zeki,Madsen,St. Helena,Dakar,Type 5
201,14-06-2019 23:23:15,55,Jonas,Ljungqvist,Tripoli,Tanger,Type 1
202,05-05-2019 10:21:40,5,Kasper,Ljungqvist,Omdurmant,Laundo,Type 1
203,27-01-2019 12:54:12,5,Andreas,Hauge,Marrakesh,Cairo,Type 5
204,20-06-2019 09:21:17,85,Jonas,Johansen,Mocambique,Omdurmant,Type 5
205,26-03-2019 16:58:24,30,Sofie,Meynan,Timbuktu,Sierra Leone,Type 1
206,26-01-2019 04:13:41,25,Niels,Pyndt,Sahara,Bahr El Ghazal,Type 5
207,25-07-2019 00:37:24,25,Sofie,Lafi,Kap Guardafui,Sierra Leone,Type 2
208,21-09-2019 07:02:38,75,Arkan,Svenningsen,Addis Abeba,Victoria Faldene,Type 3
209,04-07-2019 22:07:05,30,Alan,Vinther,Wadai,Kap st. Marie,Type 5
210,13-10-2019 19:25:10,50,Kasper,Madsen,De Kanariske Oeer,Sierra Leone,Type 3
211,04-05-2019 03:15:20,75,Alexander,Kireli,Cairo,Sierra Leone,Type 1
212,21-05-2019 17:52:56,85,Arkan,Kluw,Victoriasoen,Slavekysten,Type 2
213,08-05-2019 21:46:22,45,Marc,Lafi,Wadai,Bahr El Ghazal,Type 1
214,14-01-2019 08:43:55,65,Helene,Hegelund,Timbuktu,Hvalbugten,Type 5
215,23-04-2019 01:17:58,75,Marc,Pyndt,Kap Guardafui,Amatave,Type 5
216,15-03-2019 13:34:49,50,Marc,Steffensen,Laundo,Kapstaden,Type 1
217,02-04-2019 03:07:54,25,Alan,Madsen,Amatave,Suakin,Type 4
218,01-06-2019 01:32:33,15,Martin,Ljungqvist,Kabalo,Marrakesh,Type 5
219,20-01-2019 07:19:48,60,Lisa,Hauge,Kap st. Marie,Wadai,Type 5
220,21-08-2019 08:40:54,10,Zeki,Kireli,St. Helena,Laundo,Type 3
221,26-01-2019 22:16:04,50,Sofie,Vinther,Omdurmant,Tanger,Type 4
222,21-05-2019 12:08:04,75,Alexander,Kluw,Dakar,Slavekysten,Type 2
223,07-06-2019 03:34:53,10,Jakob,Ljungqvist,Dakar,Wadai,Type 1
224,24-09-2019 22:05:23,60,Simone,Steffensen,Dafur,Victoriasoen,Type 4
225,28-10-2019 08:46:37,90,Rasmus,Vinther,Sierra Leone,Bahr El Ghazal,Type 1
226,07-02-2019 00:05:31,70,Mark,Steffensen,Victoria Faldene,Marrakesh,Type 3
227,17-06-2019 21:44:18,70,Arkan,Kluw,Congo,Slavekysten,Type 1
228,17-07-2019 06:12:50,60,Alexander,Demant,Mocambique,Sahara,Type 3
229,27-04-2019 10:20:10,80,Jonas,Andersen,Marrakesh,Kap st. Marie,Type 1
230,15-02-2019 07:12:09,50,Simone,Andersen,Sierra Leone,Omdurmant,Type 4
231,28-10-2019 17:33:03,25,Julius,Wagtberg,Guldkysten,Laundo,Type 1
232,25-10-2019 16:50:35,90,Rasmus,Kluw,Dakar,Bahr El Ghazal,Type 1
233,10-09-2019 19:23:09,40,Jakob,Demant,Timbuktu,De Kanariske Oeer,Type 1
234,23-10-2019 18:07:28,15,Niels,Memborg,Timbuktu,Dafur,Type 1
235,06-07-2019 22:49:57,5,Niels,Hauge,Addis Abeba,Slavekysten,Type 5
236,12-09-2019 03:01:14,25,Gustav,Hauge,Suakin,Wadai,Type 3
237,08-02-2019 21:08:53,35,Alan,Vinther,Timbuktu,Tripoli,Type 4
238,13-08-2019 04:11:49,10,Thomas,Kluw,Kapstaden,Dragebjerget,Type 5
239,29-09-2019 03:37:54,85,Zeki,Pyndt,Wadai,Zanzibar,Type 1
240,23-10-2019 18:08:23,35,Mik,Jakobsen,De Kanariske Oeer,Omdurmant,Type 1
241,13-04-2019 04:12:01,65,Martin,Lund,Suakin,Victoria Faldene,Type 5
242,12-10-2019 00:06:00,15,Thomas,Kireli,Mocambique,Congo,Type 4
243,23-04-2019 10:36:16,70,Steven,Vasie,Dafur,Cairo,Type 4
244,25-05-2019 10:50:29,25,Thomas,Hegelund,St. Helena,Marrakesh,Type 1
245,10-11-2019 07:39:40,100,Arkan,Vasie,Amatave,Amatave,Type 1
246,31-01-2019 11:07:33,25,Alexander,Hildorf,Tanger,Kabalo,Type 3
247,21-05-2019 23:28:36,40,Simone,Pyndt,Zanzibar,Dakar,Type 2
248,05-02-2019 01:25:12,40,Alexander,Demant,Sahara,Cairo,Type 3
249,23-05-2019 19:42:55,45,Mik,Madsen,Kapstaden,Slavekysten,Type 4
250,31-07-2019 04:55:27,60,Niels,Kireli,Sahara,Timbuktu,Type 2
251,14-04-2019 16:51:10,25,Thomas,Ljungqvist,Zanzibar,Sahara,Type 5
252,25-10-2019 21:05:29,85,Mark,Lund,Kabalo,Dragebjerget,Type 3
253,13-03-2019 03:54:07,5,Arkan,Kireli,Addis Abeba,Kabalo,Type 5
254,16-08-2019 10:38:03,35,Steven,Demant,Congo,Tunis,Type 3
255,05-11-2019 01:09:21,5,Helene,Hegelund,Omdurmant,Cairo,Type 3
256,25-10-2019 02:33:12,30,Mark,Demant,Tanger,Addis Abeba,Type 2
257,02-07-2019 18:08:29,70,Alan,Hegelund,De Kanariske Oeer,Kapstaden,Type 1
258,13-10-2019 15:16:49,30,Julius,Vinther,Guldkysten,Timbuktu,Type 3
259,25-01-2019 18:45:45,85,Mik,Johansen,Addis Abeba,Cairo,Type 2
260,09-01-2019 11:01:19,15,Sofie,Jakobsen,Victoriasoen,Victoria Faldene,Type 4
261,30-03-2019 09:04:28,35,Rasmus,Memborg,Tunis,De Kanariske Oeer,Type 2
262,09-08-2019 13:05:11,5,Jacob,Madsen,Marrakesh,Tanger,Type 4
263,17-10-2019 10:34:56,85,Simone,Demant,Dafur,Suakin,Type 4
264,07-07-2019 19:47:31,90,Julius,Memborg,Dafur,Addis Abeba,Type 5
265,05-11-2019 12:57:38,60,Martin,Memborg,Dragebjerget,Dragebjerget,Type 5
266,03-11-2019 07:33:51,45,Kasper,Kireli,Tanger,Tanger,Type 2
267,21-07-2019 17:33:47,25,Andreas,Henriksen,De Kanariske Oeer,Dragebjerget,Type 5
268,24-03-2019 20:43:05,50,Jakob,Hegelund,Sahara,Omdurmant,Type 4
269,25-02-2019 07:10:22,35,Arkan,Henriksen,Victoria Faldene,Hvalbugten,Type 3
270,29-10-2019 17:37:43,10,Mark,Vasie,Congo,Congo,Type 5
271,28-07-2019 06:22:03,70,Gustav,Memborg,Congo,Victoriasoen,Type 4
272,08-03-2019 12:04:29,15,Kasper,Ljungqvist,Bahr El Ghazal,Mocambique,Type 5
273,06-06-2019 23:21:08,25,Mark,Roenhild,Wadai,Zanzibar,Type 2
274,10-05-2019 22:20:01,35,Jacob,Trier,Victoria Faldene,Dakar,Type 1
275,03-01-2019 19:19:36,25,Niels,Pyndt,Mocambique,Cairo,Type 2
276,28-10-2019 23:35:10,60,Rasmus,Pedersen,Tanger,Mocambique,Type 4
277,11-11-2019 21:59:57,80,Martin,Vasie,Zanzibar,Laundo,Type 1
278,26-02-2019 14:38:37,85,Jonas,Kluw,Suakin,Addis Abeba,Type 5
279,19-08-2019 06:30:00,50,Arkan,Demant,De Kanariske Oeer,Kapstaden,Type 1
280,28-06-2019 21:19:21,5,Andreas,Jakobsen,Cairo,Tripoli,Type 4
281,12-07-2019 11:43:35,40,Rasmus,Henriksen,Marrakesh,Addis Abeba,Type 5
282,16-03-2019 16:29:47,10,Andreas,Pyndt,Tunis,Cairo,Type 2
283,31-01-2019 02:18:39,5,Mik,Steffensen,St. Helena,Kapstaden,Type 4
284,14-08-2019 06:29:34,10,Zeki,Johansen,Sierra Leone,Cairo,Type 1
285,19-04-2019 23:47:16,30,Alan,Vinther,Zanzibar,Bahr El Ghazal,Type 4
286,11-09-2019 06:23:06,60,Alexander,Wagtberg,Marrakesh,Kapstaden,Type 3
287,22-10-2019 06:19:53,70,Alexander,Roenhild,Cairo,Slavekysten,Type 4
288,17-03-2019 10:49:03,5,Kasper,Hauge,Hvalbugten,Cairo,Type 4
289,27-06-2019 08:33:02,75,Simone,Kireli,Amatave,Guldkysten,Type 4
290,01-05-2019 21:54:12,30,Lisa,Hauge,St. Helena,Guldkysten,Type 4
291,06-03-2019 14:56:13,30,Lisa,Andersen,Hvalbugten,Laundo,Type 1
292,23-08-2019 10:06:24,50,Zeki,Henriksen,Dafur,Bahr El Ghazal,Type 3
293,17-08-2019 11:58:52,25,Simone,Madsen,Guldkysten,De Kanariske Oeer,Type 4
294,25-10-2019 18:20:56,100,Rasmus,Steffensen,Tripoli,Kabalo,Type 2
295,11-09-2019 08:58:18,40,Jonas,Andersen,Dakar,Victoria Faldene,Type 4
296,29-05-2019 05:37:13,15,Benjamin,Demant,Mocambique,Amatave,Type 5
297,31-07-2019 03:32:52,25,Rasmus,Pyndt,Kapstaden,Laundo,Type 3
298,19-08-2019 09:40:12,5,Jonas,Kluw,Mocambique,Dakar,Type 5
299,30-05-2019 23:31:26,80,Lisa,Demant,De Kanariske Oeer,Victoriasoen,Type 1
300,10-07-2019 15:18:02,90,Gustav,Hegelund,Bahr El Ghazal,Tripoli,Type 3
301,28-03-2019 13:49:15,20,Niels,Meynan,Bahr El Ghazal,Kap Guardafui,Type 1
302,25-04-2019 19:07:54,15,Benjamin,Memborg,Suakin,Cairo,Type 5
303,29-10-2019 19:57:22,45,Jonas,Hildorf,Laundo,Amatave,Type 4
304,31-08-2019 04:14:22,85,Steven,Henriksen,Marrakesh,Bahr El Ghazal,Type 1
